#{"t_start": 1774617788.4858, "env_id": "None"}
r,l,t
0.88823104,75,8.980839
0.5125059,51,8.990918
1.056472,53,9.001894
0.52118343,66,9.009838
2.0744896,75,9.778961
-0.7839345,75,9.782762
2.0083284,75,9.7839
0.03685677,45,9.784788
-1.879889,75,9.797961
0.78726536,55,9.818253
-0.28386194,75,9.825389
0.25495383,69,9.839625
3.623392,68,9.846704
-1.5020573,75,9.849751
0.38647604,75,9.854055
1.5800385,75,9.854949
-1.979399,62,9.854965
-2.2352018,50,9.885516
1.0066257,75,9.887429
-0.6267637,74,9.892764
1.1248534,45,9.895943
-1.1395012,53,9.902061
-0.47800767,75,9.914926
-3.4032512,75,9.917423
-0.2655201,75,9.922676
0.42310548,68,9.947893
-3.5359793,75,9.952421
-0.27120057,57,9.953347
-0.9167535,73,9.958449
-1.186465,75,9.964684
0.14221174,61,9.973911
-0.23450202,68,9.977068
-1.301144,69,9.986016
1.0661447,51,10.000497
0.79776883,33,10.006503
0.829924,61,10.008182
-4.7123585,69,10.010573
0.7358119,59,10.025345
1.8660573,75,10.025375
-0.76229066,75,10.03023
-0.019580305,75,10.050284
-2.5746279,56,10.05365
1.868075,66,10.056115
0.5630592,68,10.067954
1.06831,75,10.071269
-1.3568223,75,10.089045
-2.7858665,75,10.089077
0.44990897,74,10.093126
-0.6609658,56,10.098461
1.1982148,68,10.115448
-0.13838285,51,10.116422
-2.0213225,75,10.118832
1.1771812,75,10.133594
1.2048954,54,10.135928
-1.3465729,73,10.152548
-0.3007403,75,10.159073
-3.6918523,75,10.164815
-0.40708613,66,10.175368
0.50428945,63,10.175399
2.460268,75,10.182536
0.8200728,47,10.195499
-0.0040379167,69,10.198233
1.594289,75,10.200727
0.41680467,49,10.203142
0.48918998,66,10.22328
0.18374169,41,10.233863
1.7922026,75,10.241062
1.9114801,75,10.241091
-0.11236751,75,10.247918
-0.68435323,61,10.256536
5.011816,66,10.258332
-1.8152614,75,10.261006
-0.6679544,56,10.272147
-0.3967959,64,10.290164
0.9220127,57,10.291142
1.8869429,66,10.299516
0.7688698,48,10.303998
-0.5509946,67,10.307478
-3.3506112,75,10.322573
-0.117625,75,10.324269
0.6599721,60,10.325207
0.8774525,46,10.332023
-1.463269,55,10.355436
-2.602135,75,10.35651
-2.2573445,72,10.362356
-2.2608929,72,10.366904
-1.3350248,49,10.375367
1.5525274,75,10.390095
-1.5567312,75,10.392442
-2.9977567,75,10.393539
0.6579595,54,10.412326
1.7708864,75,10.423904
-0.32470214,75,10.424853
3.1635983,75,10.435113
-2.5549872,75,10.442762
