#{"t_start": 1766580948.9824572, "env_id": "None"}
r,l,t
-4.2150364,19,3.134955
-3.6696775,20,3.134988
-4.0327554,20,3.137648
-4.2445946,19,3.139102
-4.141523,17,3.141234
-4.144909,20,3.144511
-3.6097267,18,3.145732
-4.3255615,17,4.03497
-3.810447,20,4.036433
-3.998713,19,4.037577
-4.3769116,18,4.038883
-3.9137087,19,4.04314
-3.7384968,21,4.043188
-4.655481,17,4.044316
-4.3517284,19,4.047327
-4.0043592,18,4.054968
-3.8414783,19,4.055015
-3.2130198,19,4.057796
-3.385382,21,4.058752
-4.178423,18,4.060579
-4.0469637,17,4.060622
-3.4616833,20,4.063624
-3.931475,19,4.066765
-3.7563748,19,4.076338
-3.8062952,20,4.077472
-4.107484,20,4.080596
-4.3448753,19,4.080635
-4.1327477,17,4.080644
-3.9299119,18,4.081608
-3.1641905,20,4.085277
-3.3252034,19,4.08768
-4.285124,20,4.097616
-3.6553764,20,4.098707
-4.451826,18,4.099648
-4.347964,18,4.099666
-3.8555398,18,4.10056
-4.155019,19,4.100579
-3.3639374,19,4.105614
-3.378211,19,4.107472
-4.104265,19,4.115427
-3.6309867,18,4.116395
-3.896332,20,4.117588
-4.1604805,19,4.118559
-3.9659348,19,4.118578
-4.1703663,20,4.118587
-3.9161642,19,4.124784
-3.4586992,23,4.126674
-3.7719295,20,4.135191
-4.1344047,19,4.135233
-3.5551348,18,4.135247
-3.582041,20,4.139028
-4.0993657,20,4.13907
-3.494396,20,4.139079
-4.0122514,18,4.143817
-3.9053397,20,4.148194
-3.5800128,17,4.152991
-4.0996985,19,4.155307
-2.9738045,21,4.157681
-4.166585,20,4.160233
-3.7277017,21,4.161548
-4.1213627,21,4.161573
-4.1817007,19,4.164182
-3.7866986,19,4.168432
-3.7514138,19,4.173376
-3.6201258,20,4.176276
-3.9805229,18,4.176305
-3.708171,18,4.178232
-3.760214,19,4.179986
-3.9097197,20,4.180925
-3.8945842,19,4.182751
-3.3652987,20,4.187483
-3.7573004,17,4.192059
-3.7840452,20,4.19209
-3.936378,18,4.193066
-4.183198,19,4.195967
-3.4457974,18,4.196927
-4.025786,18,4.199658
-3.6340666,20,4.19968
-3.9652832,19,4.205915
-3.664633,18,4.211617
-3.6477594,19,4.211658
-3.784767,20,4.212648
-4.5316787,18,4.215473
-4.212594,20,4.216444
-3.8435822,18,4.218554
-4.1461053,18,4.218584
-3.5932672,18,4.226041
-4.66332,18,4.231076
-4.2685695,18,4.231116
-3.8040347,19,4.232915
-3.7389772,18,4.23514
-4.159017,19,4.237536
-3.8818042,19,4.239461
-4.0989933,19,4.239489
-4.2044344,19,4.24485
-3.913066,20,4.250084
-4.0880995,18,4.250124
-4.1994767,21,4.251133
-4.0714374,19,4.25302
-3.7607527,18,4.254045
-4.2353263,18,4.255972
-3.4752593,18,4.256008
-3.987936,20,4.263728
-3.9587333,19,4.268319
-3.8382483,19,4.268355
-3.3840582,20,4.270771
-3.7403812,19,4.272861
-3.824051,20,4.272884
-3.573225,19,4.27524
-3.6034088,20,4.276412
-3.6968436,19,4.283634
-4.5990357,17,4.287001
-3.5405648,19,4.288806
-3.491114,19,4.290561
-3.4991567,20,4.293426
-3.92812,20,4.29346
-4.203986,18,4.293469
-3.8442636,19,4.296069
-4.555273,19,4.304651
-4.342609,17,4.305646
-4.1457386,19,4.309775
-3.8124595,18,4.310816
-3.5727923,18,4.313496
-4.0849085,18,4.313525
-4.2928214,17,4.314451
-4.07382,19,4.314467
-3.75326,18,4.321556
-3.7078168,18,4.322563
-3.7838278,20,4.328114
-4.6704364,19,4.328155
-4.3003926,18,4.330025
-3.4469776,18,4.330048
-3.6251445,19,4.331843
-3.9923146,20,4.332821
-3.81852,20,4.340123
-4.2231827,20,4.341386
-3.9396472,18,4.345969
-4.2105246,17,4.346951
-3.3755856,20,4.347818
-4.0730295,20,4.349548
-4.09256,18,4.350459
-3.3110604,19,4.350477
-4.2499833,18,4.358743
-3.8089328,20,4.359628
-3.4452,19,4.363185
-4.206523,19,4.364093
-4.43281,19,4.365005
-3.9950528,19,4.366956
